customer_nbr,customer_desc,start_ts,end_ts,create_ts,create_user_id,last_update_ts,last_update_user_id,client_id
CUST001,Acme Corp,2024-01-01 08:00:00,2025-01-01 08:00:00,2024-01-01 07:50:00,admin,2024-06-01 10:20:00,user1,CL001
CUST002,Global Tech,2023-05-15 09:15:00,2025-05-15 09:15:00,2023-05-01 12:00:00,admin,2024-06-01 11:30:00,user2,CL002
CUST003,Blue Ocean,2024-03-20 10:00:00,2026-03-20 10:00:00,2024-03-18 09:45:00,user3,2024-06-01 12:15:00,user3,CL003
CUST004,Sunrise Ltd,2024-06-01 00:00:00,2025-06-01 00:00:00,2024-05-28 14:30:00,admin,2024-06-02 08:30:00,user4,CL004
CUST005,NextGen Inc,2023-11-10 14:00:00,2025-11-10 14:00:00,2023-11-01 10:00:00,user5,2024-06-01 10:00:00,user5,CL005
CUST006,Falcon Systems,2022-01-01 08:00:00,2023-01-01 08:00:00,2021-12-20 16:00:00,admin,2024-06-01 09:10:00,user6,CL006
CUST007,Green Fields,2024-02-14 06:00:00,2026-02-14 06:00:00,2024-02-01 07:00:00,user7,2024-06-01 08:00:00,user7,CL007
CUST008,Cloud Matrix,2023-07-01 10:00:00,2024-07-01 10:00:00,2023-06-20 15:30:00,admin,2024-06-01 12:00:00,user8,CL008
CUST009,Iron Gate,2024-04-01 12:00:00,2025-04-01 12:00:00,2024-03-25 11:00:00,user9,2024-06-01 14:00:00,user9,CL009
CUST010,Aqua Tech,2024-06-01 09:00:00,2025-06-01 09:00:00,2024-05-30 08:00:00,user10,2024-06-01 15:00:00,user10,CL010
